job_id,views,formatted_work_type,formatted_experience_level,normalized_salary,title_category,state
3845877107,11.0,Part-time,Not Specified,43160.0,Technical/Trades,MI
3845924752,38.0,Full-time,Not Specified,67500.0,Administrative/Office Support,US - Metro Area (Unspecified State)
3846426461,3.0,Full-time,Not Specified,90480.0,Healthcare,FL
3846437219,16.0,Full-time,Not Specified,90000.0,Management/Executive,IL
3847143087,32.0,Full-time,Not Specified,60000.0,Data/Analytics,VA
3848297827,1.0,Full-time,Not Specified,72500.0,Marketing,US - Metro Area (Unspecified State)
3848811947,2.0,Full-time,Not Specified,71288.0,Senior/Lead,MD
3848960304,12.0,Full-time,Not Specified,250000.0,Senior/Lead,US - Metro Area (Unspecified State)
3849949750,13.0,Full-time,Not Specified,37500.0,Sales,MN
3851105711,9.0,Full-time,Not Specified,122478.0,Senior/Lead,CA
3851131508,3.0,Part-time,Not Specified,41600.0,Customer Service/Support,HI
3852117411,43.0,Part-time,Not Specified,126880.0,Marketing,International/Other
3853386067,2.0,Full-time,Not Specified,42500.0,Other,MD
3854391822,14.0,Full-time,Not Specified,77400.0,Management/Executive,CA
3854810848,30.0,Full-time,Not Specified,155000.0,Other,NY
3855897428,6.0,Full-time,Not Specified,92500.0,Senior/Lead,CA
3855969867,5.0,Full-time,Not Specified,33000.0,Administrative/Office Support,FL
3857348297,12.0,Full-time,Not Specified,100000.0,Sales,TN
3857818755,17.0,Contract,Not Specified,26000.0,Customer Service/Support,US - Unspecified
3859082046,8.0,Part-time,Not Specified,52000.0,Healthcare,International/Other
3859513039,3.0,Full-time,Not Specified,90000.0,Other,US - Metro Area (Unspecified State)
3859514569,11.0,Full-time,Not Specified,147000.0,Management/Executive,CA
3859575337,2.0,Full-time,Not Specified,48880.0,Administrative/Office Support,IL
3860323940,9.0,Full-time,Not Specified,70000.0,Management/Executive,ID
3860378018,7.0,Full-time,Not Specified,70000.0,Administrative/Office Support,NE
3861166245,3.0,Full-time,Not Specified,90000.0,Legal,WA
3861222472,566.0,Part-time,Entry level,33092.8,Other,MN
3861743053,2.0,Full-time,Not Specified,42640.0,Other,AZ
3862107843,3.0,Full-time,Not Specified,110000.0,Management/Executive,UT
3862537464,8.0,Full-time,Not Specified,67500.0,Management/Executive,FL
3862673730,6.0,Full-time,Not Specified,74645.0,Management/Executive,NM
3862682461,16.0,Full-time,Not Specified,76440.0,Technical/Trades,IN
3863624365,15.0,Full-time,Associate,54080.0,Other,TX
3863869819,146.0,Full-time,Not Specified,85000.0,Engineering,US - Unspecified
3864172721,1.0,Full-time,Not Specified,100000.0,Other,OH
3864519762,3.0,Full-time,Not Specified,115000.0,Engineering,CA
3864701312,2.0,Full-time,Not Specified,55000.0,Management/Executive,GA
3865209247,2.0,Contract,Not Specified,85000.0,Sales,NJ
3865391975,24.0,Part-time,Entry level,48880.0,Other,AZ
3865441576,2.0,Contract,Not Specified,90000.0,Sales,International/Other
3866844290,103.0,Full-time,Not Specified,77500.0,Management/Executive,US - Metro Area (Unspecified State)
3867167975,3.0,Full-time,Not Specified,46800.0,Management/Executive,US - Unspecified
3867763161,2.0,Full-time,Not Specified,50481.6,Customer Service/Support,NJ
3868004859,2.0,Full-time,Not Specified,95000.0,Healthcare,CA
3868035218,10.0,Full-time,Not Specified,75000.0,Management/Executive,US - Metro Area (Unspecified State)
3868384601,2.0,Full-time,Not Specified,41600.0,Customer Service/Support,UT
3869413340,57.0,Part-time,Not Specified,135200.0,Finance,International/Other
3869490625,18.0,Full-time,Not Specified,112500.0,Design,US - Unspecified
3869757186,4.0,Full-time,Not Specified,140400.0,Other,AZ
3870359478,15.0,Full-time,Not Specified,102500.0,Legal,CA
3870363142,96.0,Full-time,Not Specified,93600.0,Technical/Trades,CA
3870701883,7.0,Full-time,Not Specified,70000.0,Other,CA
3870709286,1.0,Full-time,Not Specified,99000.0,Management/Executive,CA
3871144579,6.0,Full-time,Not Specified,97500.0,Management/Executive,US - Metro Area (Unspecified State)
3873178671,9.0,Full-time,Not Specified,102500.0,Senior/Lead,CA
3873789262,7.0,Full-time,Not Specified,255000.0,Finance,CA
3874702220,5.0,Full-time,Not Specified,218400.0,Healthcare,CA
